period	value
2023年	183,059 
2022年	42,198 
2021年	86,863 
2020年	60,441 
2019年	292,455 
2018年	302,846 
2017年	265,743 
2016年	223,210 
2015年	230,840 
2014年	351,521 
2013年	360,749 
2012年	304,139 
2011年	267,867 
2010年	188,343 
2009年	119,369 
2008年	108,772 
2007年	83,022 
2006年	56,623 
2005年	46,047 
2004年	41,378 
2003年	28,672 
2002年	22,180 
2024年4月	18,545 
2024年3月	19,503 
2024年2月	18,486 
2024年1月	19,337 
2023年12月	18,567 
2023年11月	16,043 
2023年10月	19,501 
2023年9月	14,937 
2023年8月	17,213 
2023年7月	16,662 
2023年6月	15,207 
2023年5月	15,565 
2023年4月	14,722 
2023年3月	12,738 
2023年2月	10,324 
2023年1月	11,580 
2022年12月	3,482 
2022年11月	2,999 
2022年10月	3,899 
2022年9月	2,962 
2022年8月	2,189 
2022年7月	398 
2022年6月	2,477 
2022年5月	3,341 
2022年4月	2,677 
2022年3月	3,672 
2022年2月	7,759 
2022年1月	6,344 
2021年12月	7,962 
2021年11月	6,749 
2021年10月	4,365 
2021年9月	5,879 
2021年8月	4,442 
2021年7月	8,444 
2021年6月	6,535 
2021年5月	10,445 
2021年4月	8,401 
2021年3月	8,306 
2021年2月	7,312 
2021年1月	8,024 
2020年12月	7,818 
2020年11月	6,748 
2020年10月	7,270 
2020年9月	2,211 
2020年8月	1,330 
2020年7月	1,344 
2020年6月	716 
2020年5月	1,764 
2020年4月	754 
2020年3月	5,257 
2020年2月	3,104 
2020年1月	22,126 
2019年12月	22,838 
2019年11月	22,877 
2019年10月	26,443 
2019年9月	22,079 
2019年8月	24,262 
2019年7月	24,453 
2019年6月	23,812 
2019年5月	25,952 
2019年4月	23,588 
2019年3月	25,840 
2019年2月	25,369 
2019年1月	24,942 
2018年12月	26,468 
2018年11月	24,995 
2018年10月	27,328 
2018年9月	21,952 
2018年8月	26,559 
2018年7月	25,327 
2018年6月	22,490 
2018年5月	25,489 
2018年4月	25,728 
2018年3月	25,950 
2018年2月	24,300 
2018年1月	26,260 
2017年12月	22,699 
2017年11月	23,033 
2017年10月	26,633 
2017年9月	21,362 
2017年8月	22,676 
2017年7月	22,964 
2017年6月	19,994 
2017年5月	22,742 
2017年4月	20,162 
2017年3月	21,232 
2017年2月	22,991 
2017年1月	19,255 
2016年12月	19,815 
2016年11月	18,788 
2016年10月	21,815 
2016年9月	18,396 
2016年8月	18,836 
2016年7月	17,774 
2016年6月	15,881 
2016年5月	18,389 
2016年4月	17,341 
2016年3月	17,981 
2016年2月	19,521 
2016年1月	18,674 
2015年12月	18,340 
2015年11月	16,425 
2015年10月	20,059 
2015年9月	17,133 
2015年8月	18,623 
2015年7月	18,615 
2015年6月	17,355 
2015年5月	20,346 
2015年4月	19,167 
2015年3月	21,487 
2015年2月	19,542 
2015年1月	23,748 
2014年12月	23,285 
2014年11月	24,269 
2014年10月	28,025 
2014年9月	25,564 
2014年8月	28,876 
2014年7月	28,415 
2014年6月	27,215 
2014年5月	32,354 
2014年4月	31,318 
2014年3月	35,453 
2014年2月	38,007 
2014年1月	28,739 
2013年12月	33,460 
2013年11月	30,179 
2013年10月	36,477 
2013年9月	28,963 
2013年8月	30,737 
2013年7月	29,485 
2013年6月	28,269 
2013年5月	29,589 
2013年4月	28,305 
2013年3月	31,336 
2013年2月	27,084 
2013年1月	26,864 
2012年12月	28,245 
2012年11月	24,882 
2012年10月	27,700 
2012年9月	23,866 
2012年8月	26,136 
2012年7月	24,579 
2012年6月	23,334 
2012年5月	26,078 
2012年4月	25,003 
2012年3月	24,989 
2012年2月	24,286 
2012年1月	25,040 
2011年12月	23,608 
2011年11月	23,058 
2011年10月	26,851 
2011年9月	21,244 
2011年8月	24,769 
2011年7月	24,212 
2011年6月	20,792 
2011年5月	24,306 
2011年4月	20,507 
2011年3月	20,087 
2011年2月	19,863 
2011年1月	18,571 
2010年12月	18,883 
2010年11月	17,354 
2010年10月	18,869 
2010年9月	15,302 
2010年8月	15,773 
2010年7月	16,310 
2010年6月	13,642 
2010年5月	17,075 
2010年4月	14,186 
2010年3月	13,569 
2010年2月	13,445 
2010年1月	13,937 
2009年12月	11,347 
2009年11月	12,215 
2009年10月	12,600 
2009年9月	10,943 
2009年8月	11,268 
2009年7月	9,570 
2009年6月	8,269 
2009年5月	8,799 
2009年4月	8,340 
2009年3月	9,531 
2009年2月	7,912 
2009年1月	8,575 
2008年12月	7,657 
2008年11月	7,551 
2008年10月	8,869 
2008年9月	7,088 
2008年8月	9,613 
2008年7月	9,286 
2008年6月	9,974 
2008年5月	9,793 
2008年4月	9,118 
2008年3月	10,123 
2008年2月	9,362 
2008年1月	10,338 
2007年12月	8,124 
2007年11月	7,359 
2007年10月	9,224 
2007年9月	7,145 
2007年8月	6,667 
2007年7月	6,529 
2007年6月	5,760 
2007年5月	7,477 
2007年4月	6,330 
2007年3月	6,324 
2007年2月	5,905 
2007年1月	6,178 
2006年12月	6,072 
2006年11月	4,941 
2006年10月	5,911 
2006年9月	4,616 
2006年8月	4,730 
2006年7月	4,604 
2006年6月	4,042 
2006年5月	4,471 
2006年4月	4,521 
2006年3月	4,687 
2006年2月	4,425 
2006年1月	3,604 
2005年12月	3,862 
2005年11月	3,754 
2005年10月	4,109 
2005年9月	3,380 
2005年8月	4,465 
2005年7月	3,887 
2005年6月	3,728 
2005年5月	4,310 
2005年4月	3,638 
2005年3月	4,038 
2005年2月	3,096 
2005年1月	3,779 
2004年12月	3,488 
2004年11月	3,748 
2004年10月	3,963 
2004年9月	3,087 
2004年8月	3,777 
2004年7月	4,366 
2004年6月	3,333 
2004年5月	3,522 
2004年4月	2,756 
2004年3月	3,357 
2004年2月	2,847 
2004年1月	3,133 
2003年12月	2,536 
2003年11月	3,054 
2003年10月	2,849 
2003年9月	2,480 
2003年8月	2,929 
2003年7月	2,477 
2003年6月	1,956 
2003年5月	1,655 
2003年4月	1,701 
2003年3月	2,869 
2003年2月	2,191 
2003年1月	1,976 